v1.0.1+19,,,,,,,,
ID,Módulo,Descripción del Test,Resultado Esperado,Estado Actual (v1.0.1+19),Comentarios,,,Firma QA
CONFIGURACIÓN INICIAL,,,,,,,,
CU-CFG-001,Inicial,POS Nuevo escanea Token QR válido y obtiene access_token,Se obtiene access_token y refresh_token válidos; POS queda habilitado con el cierre vigente cargado,✅ Pasa,TRUE,,,
CU-CFG-002,Inicial,POS Nuevo escanea Token QR vencido (>10m),Sistema rechaza el QR y muestra mensaje de error; solicita nuevo QR o login con usuario/contraseña en bsecurity,Pendiente,FALSE,,,
CU-CFG-003,Inicial,access_token vencido se refresca automáticamente con refresh_token,La sesión se renueva sin intervención del operador; si falla el refresh solicita usuario y contraseña en bsecurity,Pendiente,FALSE,,,
CIERRES Y HORARIOS,,,,,,,,
CU-CIE-001,Cierres,"Antes de las 14hs: ambos sorteos (Vesp y Noct) están apostables","El cierre muestra Vesp y Noct disponibles; se puede apostar a ambos",✅ Pasa,TRUE,,,
CU-CIE-002,Cierres,Pasadas las 14hs: solo el sorteo Nocturno queda apostable,El Vespertino desaparece de los sorteos disponibles; solo se puede apostar al Nocturno,Pendiente,FALSE,,,
CU-CIE-003,Cierres,Pasadas las 20hs: ningún sorteo de Juegos Tradicionales está apostable,Quiniela y Tómbola no permiten nuevas apuestas; el sistema muestra que no hay cierres activos,Pendiente,FALSE,,,
CU-CIE-004,Cierres,Miércoles pasadas las 20hs: 5 de Oro no disponible hasta las 22:30,El sistema rechaza apuestas al 5 de Oro y no lo muestra hasta que el servidor libere el siguiente cierre,Pendiente,FALSE,,,
CU-CIE-005,Cierres,El cambio de cierre se actualiza automáticamente (sin reiniciar POS),Al expirar `fechaCierre` el sistema actualiza los sorteos apostables en forma automática sin intervención del operador,Pendiente,Revisar si actualiza sin refresco manual,FALSE,,
QUINIELA,,,,,,,,
QUI-1CS-001,Quiniela,1 cifra: sorteos Vesp+Noct $50 -> carrito $100,Carrito $100 y campos limpios,🤖 Automatizado,Automatizado,FALSE,,
QUI-1CE-002,Quiniela,1 cifra: premio al límite (premio 20) $20,Jugada aceptada,🤖 Automatizado,Automatizado,FALSE,,
QUI-1CE-003,Quiniela,1 cifra: premio fuera de rango (ej. 30) -> truncar a 3,Jugada aceptada con premio truncado,✅ Pasa,TRUE,,,
QUI-1CA-004,Quiniela,1 cifra: apuesta menor a la mínima $0,Error UIException y carrito sin cambios,✅ Pasa,FALSE,,,
QUI-1CB-005,Quiniela,1 cifra: apuesta mayor a la máxima $5000,Error UIException y carrito sin cambios,✅ Pasa,FALSE,,,
QUI-2CS-001,Quiniela,2 cifras: Vesp+Noct $50 -> carrito $100,Carrito $100 y campos limpios,🤖 Automatizado,Automatizado,FALSE,,
QUI-2CE-002,Quiniela,2 cifras: premio al límite (premio 20),Jugada aceptada,🤖 Automatizado,Automatizado,FALSE,,
QUI-2CE-003,Quiniela,2 cifras: premio fuera de rango -> truncar,Jugada con premio truncado,✅ Pasa,FALSE,,,
QUI-2CA-004,Quiniela,2 cifras: apuesta menor a la mínima,Error UIException,Pendiente,FALSE,,,
QUI-2CB-005,Quiniela,2 cifras: apuesta mayor a la máxima,Error UIException,Pendiente,FALSE,,,
QUI-RED-001,Quiniela,Redoblona: Vesp+Noct nros válidos $50 -> $100,Carrito $100 y campos limpios,🤖 Automatizado,Automatizado,FALSE,,
QUI-RED-002,Quiniela,Redoblona: un sorteo nros válidos $50,Carrito $50 y campos limpios,🤖 Automatizado,Automatizado,FALSE,,
QUI-RED-003,Quiniela,Redoblona: premio fuera de rango en 2do número,Error de validación,✅ Pasa,TRUE,,,
QUI-RED-004,Quiniela,Redoblona: premio inválido en 2do número,Error con monto carrito sin cambios,✅ Pasa,FALSE,,,
QUI-RED-005,Quiniela,Redoblona sorpresa $400,Carrito with monto de apuesta,🤖 Automatizado,Automatizado,FALSE,,
QUI-3CS-001,Quiniela,3 cifras: Vesp+Noct $50 -> carrito $100,Carrito $100 y campos limpios,🤖 Automatizado,Automatizado,FALSE,,
QUI-3CE-002,Quiniela,3 cifras sorpresa: Vesp+Noct $50 -> carrito $100,Carrito $100 y campos limpios,🤖 Automatizado,Automatizado,FALSE,,
QUI-3CE-003,Quiniela,3 cifras: premio al límite (premio 20),Jugada aceptada,🤖 Automatizado,Automatizado,FALSE,,
QUI-3CE-004,Quiniela,3 cifras: premio fuera de rango -> truncar,Jugada with premio truncado,✅ Pasa,FALSE,,,
QUI-3CA-005,Quiniela,3 cifras: apuesta menor a la mínima,Error UIException,Pendiente,FALSE,,,
QUI-3CB-006,Quiniela,3 cifras: apuesta mayor a la máxima,Error UIException,Pendiente,FALSE,,,
QUI-3CC-007,Quiniela,3 cifras: premio 0 -> error de validación,Error en campo Premio y carrito sin cambios,✅ Pasa,TRUE,,,
TÓMBOLA,,,,,,,,
TOM-1NU-001,Tómbola,Rechazar jugada con 1 número (insuficiente),Carrito $0 + mensaje error,🤖 Automatizado,Automatizado,FALSE,,
TOM-2NU-001,Tómbola,Rechazar jugada con 2 números (insuficiente),Carrito $0 + mensaje error,🤖 Automatizado,Automatizado,FALSE,,
TOM-3NU-001,Tómbola,Jugada exitosa con 3 números en dos sorteos,Carrito $100 y campos limpios,🤖 Automatizado,Automatizado,FALSE,,
TOM-4NU-001,Tómbola,Jugada exitosa con 4 números en Vespertino,$50 en carrito y campos limpios,🤖 Automatizado,Automatizado,FALSE,,
TOM-5NU-001,Tómbola,Jugada exitosa con 5 números en Nocturno,$50 en carrito y campos limpios,🤖 Automatizado,Automatizado,FALSE,,
TOM-6NU-001,Tómbola,Jugada exitosa con 6 números en Nocturno,$50 en carrito y campos limpios,🤖 Automatizado,Automatizado,FALSE,,
TOM-6NU-002,Tómbola,Jugada con 6 números tras borrar uno de la sorpresa,$100 en carrito con 6 números,🤖 Automatizado,Automatizado,FALSE,,
TOM-7NU-001,Tómbola,Jugada exitosa con 7 números,$50 en carrito y campos limpios,🤖 Automatizado,Automatizado,FALSE,,
TOM-7NU-002,Tómbola,Rechazar jugada 7 nums por monto bajo mínimo (ej $20),Carrito $0 y mensaje de error de monto,🤖 Automatizado,Automatizado,FALSE,,
